,Flamefin,Mudfish,Rockfish,Flying Fish,Big Mouth Bass,Mirrorscale,Cat Fish,Jam Fish,Dogfish,Swiftfin,Hearty Trout,Ghost Fish,Bat Fish,Koi,Gold Nugget Fish,Cave Piranha,Vine Fish,Cavern Angler,Celestial Eye Goldfish,Gilded Grouper,Swordfish,Crappie,Perch,Walleye,Pike,Carp,Eel,Sea Bass,Flameheart Trout,Nightlight Swiftfin,Piranha,Blue Lobster,Literal Whale,Stinky Mudfish
none(lake),8.472973,9.414414,0.4707207,2.824324,9.414414,0.9414415,3.765766,0.3954054,0.9414415,2.824324,9.414414,0,0,6.59009,0,0,0.9414415,0,0.09414414,0,0.09414414,9.414414,9.414414,9.414414,4.707207,8.472973,0,0.09414414,0,0,1.882883,9.414415E-05,9.414414E-07,0
apprentice(lake),10.8147,10.8147,0.6008164,3.604898,7.209797,1.201633,4.806531,0.5046858,1.201633,3.604898,10.8147,0,0,7.209797,0,0,1.201633,0,0.1201633,0,0.1201633,7.209797,7.209797,7.209797,6.008164,6.008164,0,0.1201633,0,0,2.403265,0.0001201633,1.201633E-06,0
journeyman(lake),0.2536777,17.75744,1.268388,7.610331,5.073554,3.805165,10.14711,1.065446,2.536777,10.14711,0.2536777,0,0,7.610331,0,0,2.536777,0,0.2536777,0,0.2536777,5.073554,5.073554,5.073554,6.341942,2.536777,0,0.2536777,0,0,5.073554,0.0002536777,2.536777E-06,0
adept(lake),19.34648,0.2149608,1.074804,6.448825,4.299217,3.224412,0.2149608,0.9028355,0.2149608,8.598433,21.49608,0,0,6.448825,0,0,2.149608,0,0.2149608,0,0.2149608,4.299217,4.299217,4.299217,5.374021,2.149608,0,0.2149608,0,0,4.299217,0.0002149608,2.149608E-06,0
master(lake),7.241025,7.241025,2.413675,10.86154,4.82735,4.344615,4.82735,1.520615,3.620512,10.86154,7.241025,0,0,0.2413675,0,0,3.620512,0,0.7241025,0,0.7241025,4.82735,4.82735,4.82735,4.82735,2.413675,0,0.7241025,0,0,7.241025,0.001448205,2.413675E-06,0
golden(lake),5.761103,6.401225,0.3200613,1.920368,6.401225,0.6401225,2.56049,0.2688515,0.6401225,1.920368,6.401225,0,0,4.480858,0,0,0.6401225,0,0.06401225,32.00613,0.06401225,6.401225,6.401225,6.401225,3.200613,5.761103,0,0.06401225,0,0,1.280245,6.401225E-05,6.401225E-07,0
none(cave),0,0,11.0713,0,0,1.953758,0,0,0,0,0,9.768792,8.466287,0,0.09768792,13.02506,0,1.302506,5.210022,0,0.2605011,0,0,0,0,7.815034,13.02506,0,13.02506,1.953758,0,0.0001302506,0,13.02506
apprentice(cave),0,0,33.0929,0,0,0.8485358,0,0,0,0,0,4.242679,3.676989,0,0.04242679,5.656905,0,0.5656905,2.262762,0,0.1131381,0,0,0,0,31.67867,5.656905,0,5.656905,0.8485358,0,5.656906E-05,0,5.656905
journeyman(cave),0,0,6.412117,0,0,1.748759,0,0,0,0,0,8.743796,7.577957,0,0.08743796,11.6584,0,1.16584,4.663358,0,0.2331679,0,0,0,0,3.497519,11.6584,0,0,1.748759,0,0.000116584,0,40.80438
adept(cave),0,0,8.817621,0,0,2.404806,0,0,0,0,0,12.02403,10.42083,0,0.1202403,12.82563,0,3.206408,9.619224,0,0.3206408,0,0,0,0,4.809612,12.82563,0,12.82563,9.619224,0,0.0001603204,0,0.1603204
master(cave),0,0,2.996246,0,0,4.494369,0,0,0,0,0,22.47184,19.4756,0,3.220964,2.996246,0,17.97747,11.98498,0,0.5992491,0,0,0,0,2.996246,0.2996246,0,2.996246,4.494369,0,0.0002996246,0,2.996246
golden(cave),0,0,6.704787,0,0,1.183198,0,0,0,0,0,5.915988,5.12719,0,0.05915988,7.887984,0,0.7887985,3.155194,39.43992,0.1577597,0,0,0,0,4.73279,7.887984,0,7.887984,1.183198,0,7.887985E-05,0,7.887984
